,Unnamed: 0,Session_ID,User_ID,Visit_date,Device_Type,Browser,Operating_System,Traffic_Source,Country,City,Landing_Page,Exit_Page,Bounce,New_or_Returning,Conversation,Pages_Visited,Session_Duration,Page_Views,Clicks,Revenue
35,35,ses0036,usd0036,2025-11-15,Mobile,Safari,iOS,Direct,Australia,Delhi,Services,Contact,No,New Visitor,No,42,34,10,1,5648
36,36,ses0037,usd0037,2025-08-27,Desktop,Opera,Linux,Social media,India,New York,Home,Contact,No,New Visitor,Yes,96,54,5,19,1313
37,37,ses0038,usd0038,2025-12-19,Tablet,Chrome,iOS,Email marketing,Germany,Mumbai,Products,Products,Yes,Returning Visitor,Yes,14,4,14,38,2407
38,38,ses0039,usd0039,2025-01-11,Desktop,Edge,MacOS,Referral,Canada,London,Home,Contact,No,Returning Visitor,No,28,20,9,31,2984
39,39,ses0040,usd0040,2025-11-01,Mobile,Chrome,iOS,Email marketing,Germany,Mumbai,Pricing,Products,No,New Visitor,Yes,71,10,21,16,2759
40,40,ses0041,usd0041,2025-09-01,Desktop,Safari,Android,Referral,Germany,New York,Contact,Services,No,New Visitor,No,92,1,8,11,188
41,41,ses0042,usd0042,2025-12-28,Mobile,Firefox,Android,Referral,Australia,Delhi,Home,Contact,No,Returning Visitor,No,46,41,2,26,6004
42,42,ses0043,usd0043,2025-03-10,Desktop,Opera,MacOS,Email marketing,Australia,Bangalore,About us,Home,No,Returning Visitor,Yes,27,44,5,32,9574
43,43,ses0044,usd0044,2025-02-03,Desktop,Chrome,Linux,Direct,Australia,Bangalore,Pricing,Contact,Yes,Returning Visitor,No,74,11,10,43,1736
44,44,ses0045,usd0045,2025-10-19,Tablet,Firefox,MacOS,Organic search,US,Singapore,Pricing,Pricing,No,New Visitor,Yes,86,15,22,45,8340
45,45,ses0046,usd0046,2025-03-20,Mobile,Firefox,Android,Referral,Australia,Sydney,Login,Services,Yes,Returning Visitor,Yes,46,52,2,18,6431
46,46,ses0047,usd0047,2025-05-22,Tablet,Firefox,Windows,Email marketing,UK,Chennai,About us,Pricing,Yes,New Visitor,No,2,11,23,1,4366
47,47,ses0048,usd0048,2025-12-20,Tablet,Opera,Windows,Direct,India,Sydney,Blog,Contact,No,Returning Visitor,No,21,47,10,24,6219
48,48,ses0049,usd0049,2025-10-01,Mobile,Edge,iOS,Referral,Germany,New York,Home,Pricing,No,Returning Visitor,Yes,48,4,24,18,9632
49,49,ses0050,usd0050,2025-06-03,Desktop,Chrome,Android,Social media,Singapore,Singapore,About us,Home,Yes,Returning Visitor,Yes,41,31,17,48,527
50,50,ses0051,usd0051,2025-02-03,Mobile,Safari,Android,Direct,India,Sydney,Blog,Pricing,Yes,New Visitor,Yes,4,46,19,33,2785
51,51,ses0052,usd0052,2025-05-31,Mobile,Edge,Windows,Organic search,India,Delhi,About us,Contact,No,New Visitor,No,61,20,22,21,9915
52,52,ses0053,usd0053,2025-06-25,Desktop,Safari,Android,Email marketing,India,Singapore,About us,Home,No,New Visitor,No,89,6,3,39,7394
53,53,ses0054,usd0054,2025-02-23,Desktop,Opera,Android,Paid search,Australia,Singapore,Blog,Products,Yes,New Visitor,Yes,34,40,15,44,9743
54,54,ses0055,usd0055,2025-04-29,Mobile,Chrome,Android,Referral,UK,London,Home,Home,No,New Visitor,No,97,56,19,27,9995
55,55,ses0056,usd0056,2025-01-09,Tablet,Chrome,iOS,Email marketing,India,Bangalore,Services,Pricing,Yes,Returning Visitor,No,82,37,11,17,8170
56,56,ses0057,usd0057,2025-10-17,Tablet,Edge,iOS,Email marketing,Australia,Chennai,Contact,Blog,Yes,Returning Visitor,Yes,11,48,15,2,3035
57,57,ses0058,usd0058,2025-04-02,Tablet,Chrome,MacOS,Social media,UK,Bangalore,Pricing,Products,No,New Visitor,No,59,57,16,45,5007
58,58,ses0059,usd0059,2025-12-13,Mobile,Safari,Android,Direct,Germany,Mumbai,Blog,Blog,No,Returning Visitor,Yes,54,19,9,8,9721
59,59,ses0060,usd0060,2025-01-14,Tablet,Firefox,Linux,Direct,Canada,Chennai,Contact,Blog,No,New Visitor,Yes,52,30,23,35,3442
60,60,ses0061,usd0061,2025-12-10,Desktop,Opera,MacOS,Social media,Australia,London,Pricing,Pricing,Yes,New Visitor,Yes,89,52,21,11,6904
61,61,ses0062,usd0062,2025-06-28,Desktop,Edge,Linux,Referral,Canada,Chennai,Blog,Blog,Yes,New Visitor,No,31,53,17,29,5146
62,62,ses0063,usd0063,2025-10-11,Tablet,Edge,Android,Organic search,Singapore,London,Pricing,Pricing,Yes,Returning Visitor,Yes,39,50,5,39,9253
63,63,ses0064,usd0064,2025-02-22,Desktop,Opera,iOS,Organic search,Australia,Mumbai,Pricing,Contact,Yes,Returning Visitor,Yes,95,28,23,24,1278
64,64,ses0065,usd0065,2025-05-18,Mobile,Edge,MacOS,Referral,Canada,Chennai,Services,Contact,No,Returning Visitor,No,68,17,22,43,8781
65,65,ses0066,usd0066,2025-02-18,Mobile,Firefox,Linux,Social media,Australia,Sydney,Pricing,Pricing,No,Returning Visitor,No,59,55,6,46,2119
66,66,ses0067,usd0067,2025-09-19,Tablet,Firefox,Linux,Referral,India,Hyderabad,Home,Products,No,New Visitor,No,9,42,14,37,6093
67,67,ses0068,usd0068,2025-10-17,Desktop,Opera,iOS,Email marketing,Australia,Singapore,Blog,Pricing,No,New Visitor,Yes,46,43,24,22,356
68,68,ses0069,usd0069,2025-05-13,Tablet,Opera,MacOS,Social media,Canada,Mumbai,Products,Contact,No,New Visitor,Yes,81,14,16,2,1740
69,69,ses0070,usd0070,2025-01-17,Tablet,Firefox,Android,Direct,India,Sydney,Products,Home,No,New Visitor,No,85,19,8,6,5246
70,70,ses0071,usd0071,2025-06-30,Tablet,Firefox,Android,Social media,Australia,New York,Login,Home,Yes,Returning Visitor,No,89,9,10,26,4410
71,71,ses0072,usd0072,2025-06-02,Mobile,Firefox,MacOS,Referral,India,Chennai,Pricing,Home,No,New Visitor,Yes,62,25,18,38,9701
72,72,ses0073,usd0073,2025-09-26,Tablet,Edge,Android,Direct,US,Bangalore,Services,Home,No,Returning Visitor,No,12,11,12,30,2694
73,73,ses0074,usd0074,2025-12-10,Mobile,Edge,Android,Direct,UK,Delhi,About us,Pricing,No,New Visitor,No,47,2,24,13,7235
74,74,ses0075,usd0075,2025-01-19,Mobile,Safari,MacOS,Email marketing,Canada,Chennai,About us,Services,No,Returning Visitor,Yes,20,17,1,1,733
75,75,ses0076,usd0076,2025-06-24,Tablet,Firefox,MacOS,Social media,US,Hyderabad,Products,Contact,Yes,New Visitor,Yes,27,16,6,32,2843
76,76,ses0077,usd0077,2025-04-01,Desktop,Edge,MacOS,Direct,Canada,Hyderabad,Products,Services,No,Returning Visitor,No,65,29,23,24,4105
77,77,ses0078,usd0078,2025-06-17,Desktop,Chrome,Linux,Paid search,Germany,Bangalore,Blog,Home,Yes,Returning Visitor,No,55,38,4,47,5229
78,78,ses0079,usd0079,2025-08-01,Mobile,Firefox,MacOS,Social media,India,London,Login,Home,Yes,Returning Visitor,Yes,87,31,7,30,9388
79,79,ses0080,usd0080,2025-05-05,Tablet,Opera,Linux,Social media,Germany,Mumbai,Home,Contact,Yes,New Visitor,Yes,23,15,14,11,3509
80,80,ses0081,usd0081,2025-08-17,Mobile,Opera,Linux,Email marketing,Canada,London,Blog,Contact,Yes,Returning Visitor,Yes,26,54,2,46,862
81,81,ses0082,usd0082,2025-09-27,Tablet,Chrome,Linux,Email marketing,India,Hyderabad,Login,Contact,No,Returning Visitor,Yes,81,58,3,13,3088
82,82,ses0083,usd0083,2025-08-12,Desktop,Opera,iOS,Referral,Germany,Hyderabad,Login,Contact,No,Returning Visitor,Yes,6,21,8,32,3312
83,83,ses0084,usd0084,2025-06-12,Mobile,Safari,Linux,Email marketing,US,New York,Login,Products,Yes,New Visitor,Yes,57,57,14,19,1823
84,84,ses0085,usd0085,2025-07-10,Tablet,Firefox,MacOS,Referral,India,London,Pricing,Blog,No,Returning Visitor,No,14,22,3,15,4857
85,85,ses0086,usd0086,2025-12-19,Desktop,Safari,Android,Organic search,India,Sydney,Home,Home,No,Returning Visitor,No,40,4,2,3,9994
86,86,ses0087,usd0087,2025-11-09,Desktop,Edge,Android,Email marketing,UK,New York,Pricing,Contact,No,Returning Visitor,Yes,78,10,17,42,599
87,87,ses0088,usd0088,2025-02-03,Mobile,Safari,MacOS,Email marketing,US,Singapore,Pricing,Pricing,No,New Visitor,No,18,33,13,11,2329
88,88,ses0089,usd0089,2025-08-05,Tablet,Opera,Linux,Direct,Germany,Singapore,Contact,Contact,Yes,New Visitor,No,11,45,5,31,8208
89,89,ses0090,usd0090,2025-05-29,Mobile,Chrome,Linux,Referral,Singapore,Chennai,About us,Home,No,Returning Visitor,No,6,49,15,28,9730
90,90,ses0091,usd0091,2025-05-06,Mobile,Edge,MacOS,Referral,Singapore,Hyderabad,About us,Home,No,Returning Visitor,Yes,59,44,21,3,3898
91,91,ses0092,usd0092,2025-01-29,Desktop,Chrome,Windows,Direct,Singapore,Bangalore,Products,Contact,Yes,New Visitor,No,86,9,11,26,5963
92,92,ses0093,usd0093,2025-06-02,Desktop,Safari,MacOS,Email marketing,India,Mumbai,About us,Contact,No,Returning Visitor,No,64,25,8,44,1443
93,93,ses0094,usd0094,2025-11-01,Tablet,Firefox,Linux,Referral,UK,Mumbai,Pricing,Blog,Yes,Returning Visitor,Yes,69,50,7,24,4707
94,94,ses0095,usd0095,2025-10-02,Mobile,Firefox,Android,Organic search,Singapore,Bangalore,Login,Contact,Yes,Returning Visitor,Yes,35,52,23,47,1595
95,95,ses0096,usd0096,2025-04-26,Desktop,Opera,Android,Email marketing,Germany,Chennai,Login,Blog,Yes,New Visitor,No,49,12,11,19,4775
96,96,ses0097,usd0097,2025-10-17,Desktop,Safari,Windows,Email marketing,Singapore,Sydney,Products,Home,Yes,Returning Visitor,Yes,22,24,18,14,8612
97,97,ses0098,usd0098,2025-11-28,Tablet,Safari,Windows,Email marketing,US,New York,Services,Services,Yes,New Visitor,No,72,3,4,38,8373
98,98,ses0099,usd0099,2025-04-16,Mobile,Firefox,iOS,Social media,Germany,Hyderabad,Home,Contact,No,Returning Visitor,No,1,21,17,20,1086
99,99,ses0100,usd0100,2025-01-12,Desktop,Edge,Windows,Direct,Germany,Delhi,Blog,Home,Yes,Returning Visitor,No,46,23,10,35,1792
100,100,ses0101,usd0101,2025-10-30,Desktop,Opera,Linux,Email marketing,US,London,Blog,Contact,Yes,New Visitor,Yes,52,18,13,24,9774
101,101,ses0102,usd0102,2025-08-21,Desktop,Chrome,Android,Organic search,US,Chennai,Pricing,Blog,No,New Visitor,No,63,41,18,8,8613
102,102,ses0103,usd0103,2025-09-12,Tablet,Edge,iOS,Organic search,UK,Bangalore,Login,Pricing,Yes,New Visitor,Yes,83,1,11,37,5496
103,103,ses0104,usd0104,2025-07-30,Mobile,Safari,MacOS,Social media,Germany,London,Products,Products,Yes,Returning Visitor,Yes,97,17,22,11,1226
104,104,ses0105,usd0105,2025-06-15,Mobile,Edge,MacOS,Social media,UK,New York,Home,Products,No,New Visitor,Yes,96,23,7,9,5802
105,105,ses0106,usd0106,2025-01-22,Mobile,Firefox,Android,Direct,Australia,Delhi,Pricing,Pricing,No,Returning Visitor,No,61,53,1,29,8094
106,106,ses0107,usd0107,2025-12-14,Desktop,Opera,Linux,Referral,Canada,Sydney,Home,Contact,Yes,Returning Visitor,No,54,52,5,14,5662
107,107,ses0108,usd0108,2025-06-20,Mobile,Safari,Android,Referral,Germany,London,Home,Home,No,New Visitor,No,8,20,18,24,1201
108,108,ses0109,usd0109,2025-10-04,Tablet,Safari,Linux,Organic search,Canada,London,Home,Blog,No,Returning Visitor,Yes,90,38,7,4,5470
109,109,ses0110,usd0110,2025-12-09,Mobile,Edge,Linux,Social media,India,New York,Login,Home,Yes,New Visitor,Yes,57,25,9,46,9687
110,110,ses0111,usd0111,2025-05-16,Desktop,Chrome,iOS,Email marketing,Australia,Mumbai,Pricing,Pricing,No,New Visitor,Yes,93,57,6,17,5823
111,111,ses0112,usd0112,2025-08-26,Desktop,Edge,MacOS,Email marketing,Australia,London,About us,Services,No,New Visitor,No,99,29,4,46,6588
112,112,ses0113,usd0113,2025-09-01,Desktop,Chrome,iOS,Direct,UK,London,Services,Contact,No,Returning Visitor,No,67,42,3,48,4728
113,113,ses0114,usd0114,2025-02-06,Tablet,Edge,Android,Social media,India,London,Home,Services,Yes,New Visitor,Yes,28,2,18,2,9860
114,114,ses0115,usd0115,2025-08-28,Tablet,Opera,Android,Organic search,Singapore,Chennai,About us,Home,No,New Visitor,No,79,20,21,9,1901
115,115,ses0116,usd0116,2025-05-10,Tablet,Chrome,MacOS,Email marketing,UK,Mumbai,Products,Blog,Yes,Returning Visitor,Yes,44,42,24,14,4910
116,116,ses0117,usd0117,2025-10-30,Desktop,Firefox,Windows,Social media,Australia,New York,Login,Contact,Yes,New Visitor,No,11,42,10,7,3035
117,117,ses0118,usd0118,2025-12-17,Desktop,Safari,Android,Organic search,UK,New York,Products,Home,No,New Visitor,No,57,54,24,37,2161
118,118,ses0119,usd0119,2025-06-21,Mobile,Chrome,Windows,Email marketing,Singapore,Chennai,Pricing,Products,No,New Visitor,Yes,17,30,19,49,8644
119,119,ses0120,usd0120,2025-07-08,Mobile,Chrome,iOS,Direct,UK,Singapore,Login,Pricing,No,New Visitor,Yes,23,27,10,28,7111
120,120,ses0121,usd0121,2025-07-11,Desktop,Edge,MacOS,Paid search,Australia,Delhi,About us,Services,No,New Visitor,Yes,10,5,21,21,4965
121,121,ses0122,usd0122,2025-09-25,Desktop,Firefox,Linux,Email marketing,Australia,London,Products,Contact,No,Returning Visitor,Yes,31,41,24,42,9957
122,122,ses0123,usd0123,2025-12-17,Tablet,Safari,Android,Paid search,Australia,Singapore,Pricing,Services,No,Returning Visitor,No,98,11,13,1,1193
123,123,ses0124,usd0124,2025-06-24,Tablet,Firefox,iOS,Referral,UK,Hyderabad,Login,Products,No,Returning Visitor,Yes,96,42,11,31,2820
124,124,ses0125,usd0125,2025-11-20,Desktop,Firefox,Windows,Paid search,Singapore,Bangalore,Home,Products,Yes,Returning Visitor,No,45,47,15,32,6242
125,125,ses0126,usd0126,2025-11-02,Mobile,Safari,Windows,Organic search,Australia,Singapore,Pricing,Blog,No,Returning Visitor,Yes,55,46,10,37,8151
126,126,ses0127,usd0127,2025-01-31,Mobile,Edge,iOS,Paid search,Singapore,London,About us,Contact,Yes,New Visitor,No,31,22,5,30,6509
127,127,ses0128,usd0128,2025-05-18,Mobile,Firefox,iOS,Social media,Canada,Hyderabad,Pricing,Home,No,New Visitor,Yes,43,19,15,20,9013
128,128,ses0129,usd0129,2025-08-21,Tablet,Safari,Linux,Social media,Canada,Delhi,Services,Home,Yes,Returning Visitor,No,89,15,22,47,7641
129,129,ses0130,usd0130,2025-07-07,Mobile,Safari,Android,Paid search,US,Sydney,Login,Contact,Yes,New Visitor,Yes,77,45,23,2,1432
130,130,ses0131,usd0131,2025-07-22,Mobile,Safari,Linux,Email marketing,UK,Sydney,Products,Contact,Yes,New Visitor,Yes,34,47,3,20,722
131,131,ses0132,usd0132,2025-12-14,Tablet,Edge,Windows,Paid search,India,Bangalore,Blog,Contact,No,New Visitor,Yes,73,42,20,46,583
132,132,ses0133,usd0133,2025-12-03,Desktop,Chrome,iOS,Paid search,India,Singapore,Blog,Home,No,New Visitor,Yes,33,59,24,25,9231
133,133,ses0134,usd0134,2025-06-16,Mobile,Safari,iOS,Social media,UK,Delhi,Products,Services,Yes,Returning Visitor,Yes,76,51,16,42,9509
134,134,ses0135,usd0135,2025-08-06,Mobile,Edge,Windows,Direct,India,Hyderabad,Contact,Home,Yes,New Visitor,Yes,23,49,10,26,5705
135,135,ses0136,usd0136,2025-03-18,Mobile,Chrome,iOS,Email marketing,UK,Bangalore,Products,Contact,Yes,New Visitor,No,96,43,18,43,5568
136,136,ses0137,usd0137,2025-11-18,Tablet,Safari,Android,Social media,UK,Bangalore,Home,Services,No,Returning Visitor,Yes,15,36,10,32,623
137,137,ses0138,usd0138,2025-05-14,Tablet,Firefox,MacOS,Paid search,Germany,New York,Login,Services,Yes,Returning Visitor,No,27,30,14,18,1610
138,138,ses0139,usd0139,2025-05-12,Desktop,Edge,Android,Organic search,Canada,Chennai,About us,Blog,Yes,Returning Visitor,Yes,2,45,4,26,6237
139,139,ses0140,usd0140,2025-07-15,Tablet,Safari,Windows,Paid search,UK,Chennai,Products,Services,No,Returning Visitor,No,54,53,1,16,3128
140,140,ses0141,usd0141,2025-06-06,Mobile,Edge,Android,Paid search,Singapore,Bangalore,About us,Contact,No,Returning Visitor,No,48,32,2,44,4526
141,141,ses0142,usd0142,2025-11-29,Mobile,Edge,Windows,Paid search,Germany,Chennai,Products,Contact,No,Returning Visitor,No,55,14,11,3,704
142,142,ses0143,usd0143,2025-03-02,Mobile,Firefox,MacOS,Organic search,India,Bangalore,Blog,Services,Yes,New Visitor,Yes,52,16,22,10,4218
143,143,ses0144,usd0144,2025-07-06,Desktop,Chrome,iOS,Social media,US,Chennai,Pricing,Home,No,New Visitor,Yes,14,18,24,29,5366
144,144,ses0145,usd0145,2025-06-05,Desktop,Chrome,Android,Referral,US,Bangalore,Products,Contact,Yes,Returning Visitor,No,16,55,3,29,2739
145,145,ses0146,usd0146,2025-07-20,Mobile,Chrome,Linux,Email marketing,US,Sydney,About us,Products,No,Returning Visitor,No,59,45,16,26,2985
146,146,ses0147,usd0147,2025-02-16,Desktop,Chrome,Windows,Paid search,UK,New York,Pricing,Contact,Yes,Returning Visitor,No,82,28,15,47,4236
147,147,ses0148,usd0148,2025-04-21,Tablet,Chrome,Windows,Direct,Australia,Chennai,Products,Contact,No,Returning Visitor,No,27,28,24,46,1590
148,148,ses0149,usd0149,2025-08-02,Mobile,Edge,Windows,Email marketing,Germany,Singapore,Products,Home,No,New Visitor,Yes,84,4,2,14,7711
149,149,ses0150,usd0150,2025-04-19,Desktop,Edge,Windows,Organic search,UK,Mumbai,Blog,Contact,No,New Visitor,Yes,46,1,18,8,1843
150,150,ses0151,usd0151,2025-10-01,Desktop,Edge,Android,Email marketing,India,Singapore,Contact,Products,No,New Visitor,Yes,16,27,7,9,3803
151,151,ses0152,usd0152,2025-10-21,Mobile,Safari,MacOS,Social media,Singapore,London,Login,Services,No,New Visitor,No,35,59,11,2,9917
152,152,ses0153,usd0153,2025-12-04,Tablet,Firefox,iOS,Referral,Australia,Delhi,Products,Contact,Yes,New Visitor,Yes,46,48,12,24,526
153,153,ses0154,usd0154,2026-01-01,Mobile,Safari,MacOS,Direct,Germany,Bangalore,Blog,Home,No,New Visitor,No,66,37,18,46,195
154,154,ses0155,usd0155,2025-08-24,Desktop,Chrome,Linux,Direct,Canada,Mumbai,Pricing,Pricing,Yes,New Visitor,No,62,34,9,43,8231
155,155,ses0156,usd0156,2025-04-07,Tablet,Firefox,Android,Paid search,US,Sydney,Pricing,Contact,No,New Visitor,Yes,90,42,3,5,9535
156,156,ses0157,usd0157,2025-09-02,Tablet,Edge,MacOS,Direct,Canada,Bangalore,Products,Services,No,Returning Visitor,Yes,58,59,4,30,6785
157,157,ses0158,usd0158,2025-07-13,Mobile,Edge,MacOS,Email marketing,Australia,Chennai,Pricing,Pricing,No,New Visitor,No,18,57,23,30,7846
158,158,ses0159,usd0159,2025-05-24,Mobile,Firefox,Windows,Direct,India,Hyderabad,Pricing,Contact,No,New Visitor,Yes,56,35,17,46,9006
159,159,ses0160,usd0160,2025-02-10,Mobile,Safari,Android,Direct,Australia,London,Pricing,Blog,No,Returning Visitor,No,52,44,3,37,8960
160,160,ses0161,usd0161,2025-11-24,Desktop,Edge,Linux,Email marketing,India,New York,Blog,Pricing,No,New Visitor,No,37,27,5,2,9513
161,161,ses0162,usd0162,2025-05-27,Desktop,Firefox,Android,Social media,Singapore,Hyderabad,Pricing,Pricing,No,New Visitor,No,55,54,6,4,7619
162,162,ses0163,usd0163,2025-04-05,Mobile,Firefox,iOS,Referral,UK,Singapore,Products,Products,No,Returning Visitor,Yes,72,46,6,34,9555
163,163,ses0164,usd0164,2025-03-03,Tablet,Firefox,iOS,Organic search,Singapore,Chennai,Login,Blog,Yes,New Visitor,Yes,43,31,13,49,7554
164,164,ses0165,usd0165,2025-08-04,Desktop,Chrome,Windows,Organic search,UK,Mumbai,Pricing,Services,Yes,Returning Visitor,No,8,1,24,1,7991
165,165,ses0166,usd0166,2025-05-25,Desktop,Opera,iOS,Organic search,India,Delhi,Blog,Contact,No,New Visitor,Yes,60,16,7,39,2532
166,166,ses0167,usd0167,2025-03-17,Desktop,Opera,Linux,Email marketing,India,Mumbai,Services,Pricing,Yes,New Visitor,No,94,28,4,31,4043
167,167,ses0168,usd0168,2025-01-25,Mobile,Firefox,MacOS,Referral,Australia,Chennai,About us,Home,No,New Visitor,Yes,17,10,21,14,3288
168,168,ses0169,usd0169,2025-04-13,Desktop,Chrome,iOS,Email marketing,India,Hyderabad,Services,Pricing,Yes,New Visitor,No,84,44,5,39,3172
169,169,ses0170,usd0170,2025-07-24,Mobile,Chrome,MacOS,Paid search,Singapore,Singapore,Home,Contact,Yes,Returning Visitor,Yes,54,26,12,22,1583
170,170,ses0171,usd0171,2025-02-23,Tablet,Safari,Windows,Referral,UK,Bangalore,About us,Blog,No,New Visitor,No,37,27,3,6,1370
171,171,ses0172,usd0172,2025-02-09,Desktop,Chrome,Windows,Direct,US,New York,Pricing,Contact,No,New Visitor,Yes,5,57,9,26,4338
172,172,ses0173,usd0173,2025-05-20,Mobile,Opera,Windows,Organic search,Australia,Delhi,Blog,Services,No,New Visitor,Yes,69,39,15,44,4166
173,173,ses0174,usd0174,2025-08-13,Desktop,Chrome,iOS,Referral,Germany,New York,Pricing,Products,Yes,Returning Visitor,No,87,46,4,42,813
174,174,ses0175,usd0175,2025-01-27,Mobile,Safari,Linux,Paid search,Australia,Sydney,Home,Contact,Yes,Returning Visitor,Yes,48,33,8,46,6519
